epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.9355,0.51846,5.91382,0.88271,0.19117,0.09341,0.02562,0.02479,0.31131,3.6572,0.8038,1.88699e-05,1.88699e-05,1.88699e-05
2,114.782,0.31383,3.9277,0.81134,0.38338,0.34134,0.33573,0.33133,0.22408,2.31057,0.78643,3.41207e-05,3.41207e-05,3.41207e-05
3,163.506,0.266,2.75417,0.80332,0.70798,0.67613,0.77581,0.76863,0.19877,1.27435,0.77845,4.56096e-05,4.56096e-05,4.56096e-05
4,212.964,0.24008,1.84892,0.79578,0.88499,0.87868,0.95423,0.94788,0.17928,0.75349,0.77301,4.0071e-05,4.0071e-05,4.0071e-05
5,265.76,0.22417,1.32713,0.79203,0.95344,0.9569,0.98659,0.98249,0.16877,0.52835,0.7701,3.4428e-05,3.4428e-05,3.4428e-05
6,320.149,0.20806,1.05296,0.78762,0.97411,0.97878,0.99312,0.99015,0.15544,0.41985,0.76836,2.8785e-05,2.8785e-05,2.8785e-05
7,371.756,0.19843,0.8924,0.78521,0.98245,0.98844,0.99398,0.9914,0.14918,0.3642,0.76633,2.3142e-05,2.3142e-05,2.3142e-05
8,424.659,0.19155,0.79917,0.78314,0.98598,0.98771,0.99449,0.99217,0.14269,0.3344,0.76498,1.7499e-05,1.7499e-05,1.7499e-05
9,476.091,0.1844,0.74722,0.78004,0.98954,0.99161,0.99485,0.99292,0.13745,0.31239,0.76406,1.1856e-05,1.1856e-05,1.1856e-05
10,529.558,0.18011,0.69527,0.77841,0.98973,0.99278,0.99485,0.99316,0.13499,0.30217,0.76377,6.213e-06,6.213e-06,6.213e-06
